Bump_ID,Name,Center_X,Center_Y,Width,Height,Area,Text_Distance
25,PADN_x4_DQS,2292.6540,4005.9600,80.0000,80.0000,5018.4943,0.0000
26,PADP_x4_DQS,2292.6540,3846.3600,80.0000,80.0000,5018.4943,0.0000
27,VDD2,2292.6770,3686.7600,80.0000,80.0000,5018.4943,0.0000
28,VSS,2398.6540,3766.5600,80.0000,80.0000,5018.4943,0.0000
29,VSS,2186.6540,4085.7600,80.0000,80.0000,5018.4943,0.0000
30,VSS,2398.6540,4085.7600,80.0000,80.0000,5018.4943,0.0000
31,VSS,2663.4020,4085.7600,80.0000,80.0000,5018.4943,0.0000
32,VDD2,2716.6770,3367.5600,80.0000,80.0000,5018.4943,0.0000
33,VDDPST,2716.6770,3048.3600,80.0000,80.0000,5018.4943,0.0000
34,VDD2,2504.6770,3367.5600,80.0000,80.0000,5018.4943,0.0000
35,VDD2,2504.6770,3048.3600,80.0000,80.0000,5018.4943,0.0000
36,VDD2,2504.6770,3207.9600,80.0000,80.0000,5018.4943,0.0000
37,VSS,2610.6770,3447.3600,80.0000,80.0000,5018.4943,0.0000
38,VSS,2610.6770,3287.7600,80.0000,80.0000,5018.4943,0.0000
39,VSS,2610.6770,3128.1600,80.0000,80.0000,5018.4943,0.0000
40,VSS,2610.6770,2968.5600,80.0000,80.0000,5018.4943,0.0000
41,VDD2,2716.6770,3207.9600,80.0000,80.0000,5018.4943,0.0000
42,PAD_JTAG_TCK,2716.6770,2729.1600,80.0000,80.0000,5018.4943,0.0000
43,VDDPST,2716.6770,2569.5600,80.0000,80.0000,5018.4943,0.0000
44,PAD_JTAG_TMS,2716.6770,2409.9600,80.0000,80.0000,5018.4943,0.0000
45,VDD2,2504.6770,2729.1600,80.0000,80.0000,5018.4943,0.0000
46,VDDHV_PLL_FRAC0,2504.6770,2569.5600,80.0000,80.0000,5018.4943,0.0000
47,VSS,2504.6770,2409.9600,80.0000,80.0000,5018.4943,0.0000
48,PAD_JTAG_TRST,2610.6770,2808.9600,80.0000,80.0000,5018.4943,0.0000
49,PAD_DPG_ERR,2610.6770,2649.3600,80.0000,80.0000,5018.4943,0.0000
50,VDDPOST_PLL_FRAC0,2610.6770,2489.7600,80.0000,80.0000,5018.4943,0.0000
51,VSS,2398.6770,3447.3600,80.0000,80.0000,5018.4943,0.0000
52,VSS,2398.6770,3287.7600,80.0000,80.0000,5018.4943,0.0000
53,VSS,2398.6770,3128.1600,80.0000,80.0000,5018.4943,0.0000
54,VSS,2398.6770,2968.5600,80.0000,80.0000,5018.4943,0.0000
55,VSS,2186.6770,3447.3600,80.0000,80.0000,5018.4943,0.0000
56,VSS,2186.6770,3287.7600,80.0000,80.0000,5018.4943,0.0000
57,VSS,2186.6770,3128.1600,80.0000,80.0000,5018.4943,0.0000
58,VSS,2186.6770,2968.5600,80.0000,80.0000,5018.4943,0.0000
59,VDD2,2292.6770,3367.5600,80.0000,80.0000,5018.4943,0.0000
60,VDD2,2292.6770,3207.9600,80.0000,80.0000,5018.4943,0.0000
61,VDD2,2292.6770,3048.3600,80.0000,80.0000,5018.4943,0.0000
62,VSS,2398.6770,2808.9600,80.0000,80.0000,5018.4943,0.0000
63,VDDREF_PLL_FRAC0,2398.6770,2489.7600,80.0000,80.0000,5018.4943,0.0000
64,VSS,2186.6770,2808.9600,80.0000,80.0000,5018.4943,0.0000
65,VSS,2186.6770,2489.7600,80.0000,80.0000,5018.4943,0.0000
66,VSS,2186.6770,2649.3600,80.0000,80.0000,5018.4943,0.0000
67,VDD2,2292.6770,2729.1600,80.0000,80.0000,5018.4943,0.0000
68,VDD2,2292.6770,2569.5600,80.0000,80.0000,5018.4943,0.0000
69,VDD2,2292.6770,2409.9600,80.0000,80.0000,5018.4943,0.0000
70,VSS,2398.6770,2649.3600,80.0000,80.0000,5018.4943,0.0000
71,VDD2,2292.6770,2888.7600,80.0000,80.0000,5018.4943,0.0000
72,VDD2,2504.6770,2888.7600,80.0000,80.0000,5018.4943,0.0000
73,PAD_JTAG_TDI,2716.6770,2888.7600,80.0000,80.0000,5018.4943,0.0000
74,VDDQ_SENSE,1974.6770,4564.5600,80.0000,80.0000,5018.4943,0.0000
75,VDD_SENSE,1868.6770,4484.7600,80.0000,80.0000,5018.4943,0.0000
76,VDD2,1868.6770,4165.5600,80.0000,80.0000,5018.4943,0.0000
77,VDD2,1868.6770,4325.1600,80.0000,80.0000,5018.4943,0.0000
78,VSS,1974.6770,3606.9600,80.0000,80.0000,5018.4943,0.0000
79,VDD2,1868.6770,4005.9600,80.0000,80.0000,5018.4943,0.0000
80,VDD2,1868.6770,3846.3600,80.0000,80.0000,5018.4943,0.0000
81,VDD2,1868.6770,3686.7600,80.0000,80.0000,5018.4943,0.0000
82,PAD_DQ0,1618.9370,4484.7600,80.0000,80.0000,5018.4943,0.0000
83,PAD_DQ6,1618.9370,4165.5600,80.0000,80.0000,5018.4943,0.0000
84,VDDQ,1512.9370,4564.5600,80.0000,80.0000,5018.4943,0.0000
85,VDD,1512.9370,4404.9600,80.0000,80.0000,5018.4943,0.0000
86,VSS,1512.9370,4245.3600,80.0000,80.0000,5018.4943,0.0000
87,PAD_DQ1,1618.9370,4325.1600,80.0000,80.0000,5018.4943,0.0000
88,PAD_DQ7,1618.9370,4005.9600,80.0000,80.0000,5018.4943,0.0000
89,PAD_DQ0,1618.9370,3846.3600,80.0000,80.0000,5018.4943,0.0000
90,PAD_DQ1,1618.9370,3686.7600,80.0000,80.0000,5018.4943,0.0000
91,VDDQ,1512.9370,3926.1600,80.0000,80.0000,5018.4943,0.0000
92,VSS,1512.9370,3606.9600,80.0000,80.0000,5018.4943,0.0000
93,VDD,1512.9370,3766.5600,80.0000,80.0000,5018.4943,0.0000
94,VDD,1512.9370,4085.7600,80.0000,80.0000,5018.4943,0.0000
95,VDDQ,1762.6770,4564.5600,80.0000,80.0000,5018.4943,0.0000
96,VSS,1762.6770,4404.9600,80.0000,80.0000,5018.4943,0.0000
97,VDDQ,1762.6770,4245.3600,80.0000,80.0000,5018.4943,0.0000
98,VSS,1762.6770,4085.7600,80.0000,80.0000,5018.4943,0.0000
99,VDDQ,1762.6770,3926.1600,80.0000,80.0000,5018.4943,0.0000
100,VSS,1762.6770,3766.5600,80.0000,80.0000,5018.4943,0.0000
101,VDDQ,1762.6770,3606.9600,80.0000,80.0000,5018.4943,0.0000
102,VSS,1974.6770,3447.3600,80.0000,80.0000,5018.4943,0.0000
103,VSS,1974.6770,3287.7600,80.0000,80.0000,5018.4943,0.0000
104,VSS,1974.6770,3128.1600,80.0000,80.0000,5018.4943,0.0000
105,VSS,1974.6770,2968.5600,80.0000,80.0000,5018.4943,0.0000
106,VDD2,1868.6770,3367.5600,80.0000,80.0000,5018.4943,0.0000
107,VDD2,1868.6770,3048.3600,80.0000,80.0000,5018.4943,0.0000
108,VDD2,1868.6770,3207.9600,80.0000,80.0000,5018.4943,0.0000
109,VSS,1974.6770,2808.9600,80.0000,80.0000,5018.4943,0.0000
110,VSS,1974.6770,2489.7600,80.0000,80.0000,5018.4943,0.0000
